x,y,s1,s2,s3,s4,s5
0,0,-56.4,-54.8,-48.6,-51.8,N/A
0,1,-49.0,-61.0,-52.4,-49.4,N/A
0,2,-51.4,-57.6,-57.2,-41.0,N/A
0,3,-56.8,-54.4,-48.2,-45.6,N/A
0,4,-59.6,-48.0,-55.2,-46.2,N/A
0,5,-51.8,-54.0,-46.6,-45.2,N/A
0,6,-48.2,-54.0,-47.4,-47.0,N/A
0,7,-53.6,-58.4,-49.2,-45.8,N/A
0,8,-61.8,-47.8,-46.6,-46.0,N/A
0,9,-54.0,-51.0,-40.8,-55.2,N/A
0,10,-53.4,-58.0,-38.2,-48.6,N/A
0,11,-54.4,-58.6,-48.4,-43.6,N/A
0,12,-57.0,-53.2,-24.0,-50.0,N/A
0,13,-55.5,-63.5,-29.0,-52.5,N/A
1,13,-54.4,-55.4,-36.6,-49.2,-50.0
1,12,-53.8,-57.2,-38.6,-51.8,-48.0
1,11,-48.8,-55.6,-30.0,-48.0,-46.8
1,10,-57.2,-49.8,-35.8,-47.6,-43.8
1,9,-56.8,-47.0,-32.0,-48.6,-46.0
1,8,-48.6,-46.6,-40.4,-49.0,-44.4
1,7,-53.6,-47.2,-38.2,-45.4,-43.2
1,6,-51.6,-53.0,-42.8,-51.6,-42.4
1,5,-45.6,-51.8,-40.2,-46.8,-39.6
1,4,-58.4,-48.6,-44.2,-39.4,-44.8
1,3,-46.6,-47.6,-44.2,-35.2,-46.2
1,2,-57.2,-51.6,-49.4,-36.6,-46.2
1,1,-44.2,-51.8,-43.2,-39.2,-41.4
1,0,-50.5,-54.5,-54.5,-37.0,-43.5
2,0,-55.8,-50.8,-48.8,-37.0,-45.4
2,1,-54.0,-57.8,-48.4,-42.6,-45.6
2,2,-53.2,-56.6,-49.0,-40.8,-56.2
2,3,-46.0,-57.2,-48.8,-31.4,-53.6
2,4,-50.8,-48.2,-51.8,-34.4,-51.4
2,5,-52.6,-53.0,-48.0,-39.6,-52.2
2,6,-48.6,-57.2,-48.2,-37.4,-51.0
2,7,-49.6,-56.6,-50.8,-47.0,-48.2
2,8,-53.4,-55.8,-38.4,-54.0,-42.4
2,9,-50.6,-54.0,-30.8,-54.2,-48.4
2,10,-57.2,-53.6,-26.0,-50.4,-48.2
2,11,-51.4,-54.4,-36.0,-51.4,-49.0
2,12,-52.4,-60.0,-35.2,-49.4,-44.8
2,13,-46.0,-60.0,-25.0,-48.5,-41.0
3,13,-53.8,-53.2,-31.4,-47.4,-51.6
3,12,-52.6,-51.6,-48.8,-51.8,-52.6
3,11,-53.2,-46.0,-37.0,-52.0,-47.8
3,10,-56.2,-47.2,-38.6,-43.2,-51.0
3,9,-56.0,-45.4,-35.8,-48.0,-48.8
3,8,-54.6,-34.2,-49.6,-45.4,N/A
3,7,-50.0,-42.2,-45.6,-47.0,N/A
3,6,-53.6,-38.4,-39.4,-45.6,N/A
3,5,-56.0,-42.4,-49.2,-39.5,N/A
3,4,-49.6,-49.2,-48.8,-42.8,N/A
3,3,-56.6,-43.8,-47.6,-37.2,N/A
3,2,-48.8,-45.4,-40.2,-43.2,N/A
3,1,-57.6,-43.8,-43.4,-41.4,N/A
3,0,-50.0,-50.0,-44.0,-43.0,N/A
4,0,-48.8,-50.0,-39.0,-48.8,N/A
4,1,N/A,N/A,N/A,N/A,N/A
4,2,-54.6,-46.8,-38.0,-47.8,N/A
4,3,-51.8,-39.8,-44.6,-47.2,N/A
4,4,-52.4,-39.4,-46.6,-46.4,N/A
4,5,-53.8,-40.2,-48.0,-45.6,N/A
4,6,-53.6,-41.4,-47.0,-46.0,N/A
4,7,-52.8,-40.6,-46.2,-46.0,N/A
4,8,-53.2,-40.4,-47.6,-46.6,N/A
4,9,-54.0,-39.8,-48.0,-47.0,N/A
4,10,-54.0,-43.4,-42.4,-46.4,N/A
4,11,-53.2,-42.2,-39.6,-47.0,N/A
4,12,-55.2,-39.4,-41.0,-46.6,N/A
4,13,-56.0,-40.5,-40.0,-51.0,N/A
5,13,-54.2,-39.8,-46.0,-46.0,N/A
5,12,-53.6,-41.4,-43.6,-47.0,N/A
5,11,-53.4,-41.2,-47.6,-46.8,N/A
5,10,-56.2,-41.4,-47.2,-46.8,N/A
5,9,-53.8,-42.6,-42.2,-48.6,N/A
5,8,-52.0,-51.4,-54.8,-56.8,N/A
5,7,-51.8,-40.8,-45.0,-58.0,N/A
5,6,-59.6,-36.4,-49.0,N/A,N/A
5,5,-48.6,-38.4,-49.0,N/A,N/A
5,4,-40.4,-34.0,-49.0,N/A,N/A
