x,y,s1,s2,s3
0,0,-50.333333333333336,-55.333333333333336,-54.666666666666664
0,1,-52.333333333333336,-60.333333333333336,-56.0
0,2,-46.0,-59.0,-51.666666666666664
0,3,-53.0,-61.666666666666664,-51.666666666666664
0,4,-55.0,-62.0,-54.0
0,5,-57.0,-60.333333333333336,-50.666666666666664
0,6,-53.333333333333336,-60.666666666666664,-55.666666666666664
0,7,-46.0,-59.0,-52.666666666666664
0,8,-46.0,-63.0,-45.0
0,9,-49.0,-57.333333333333336,-49.0
0,10,-50.333333333333336,-55.333333333333336,-37.333333333333336
0,11,-60.0,-56.0,-33.333333333333336
0,12,-65.33333333333333,-57.0,-52.666666666666664
0,13,-51.0,-56.333333333333336,-31.0
0,14,-47,-56,-25
1,14,-55.666666666666664,-55.666666666666664,-39.333333333333336
1,13,-48.333333333333336,-53.0,-23.333333333333332
1,12,-59.0,-52.333333333333336,-33.333333333333336
1,11,-52.666666666666664,-54.0,-39.333333333333336
1,10,-56.666666666666664,-53.666666666666664,-33.333333333333336
1,9,-53.666666666666664,-50.0,-33.0
1,8,-50.0,-47.666666666666664,-37.0
1,7,-45.666666666666664,-48.333333333333336,-37.333333333333336
1,6,-48.333333333333336,-49.0,-40.0
1,5,-53.333333333333336,-47.333333333333336,-45.666666666666664
1,4,-47.0,-45.0,-51.666666666666664
1,3,-46.333333333333336,-54.0,-49.0
1,2,-56.666666666666664,-52.333333333333336,-47.0
1,1,-47.666666666666664,-48.333333333333336,-49.0
1,0,-43,-50,-44
2,0,-47.666666666666664,-51.333333333333336,-51.0
2,1,-46.0,-51.666666666666664,-46.0
2,2,-53.333333333333336,-59.666666666666664,-46.0
2,3,-53.0,-50.0,-45.0
2,4,-51.333333333333336,-52.333333333333336,-48.666666666666664
2,5,-45.0,-51.666666666666664,-55.666666666666664
2,6,-48.666666666666664,-49.666666666666664,-47.666666666666664
2,7,-48.666666666666664,-49.0,-36.666666666666664
2,8,-49.333333333333336,-61.333333333333336,-34.333333333333336
2,9,-58.333333333333336,-47.666666666666664,-41.0
2,10,-48.333333333333336,-50.666666666666664,-44.0
2,11,-51.333333333333336,-55.0,-47.0
2,12,-51.333333333333336,-55.666666666666664,-33.333333333333336
2,13,-51.0,-53.333333333333336,-40.333333333333336
2,14,-55,-50,-28
3,14,-57.0,-47.333333333333336,-42.333333333333336
3,13,-54.0,-50.0,-40.333333333333336
3,12,-57.0,-52.0,-47.333333333333336
3,11,-52.666666666666664,-57.666666666666664,-46.666666666666664
3,10,-54.666666666666664,-47.666666666666664,-51.333333333333336
3,9,-49.0,-50.0,-46.333333333333336
3,8,-54.0,-47.333333333333336,-45.0
3,7,-54.333333333333336,-52.0,-45.333333333333336
3,6,-54.333333333333336,-43.666666666666664,-44.666666666666664
3,5,-46.666666666666664,-48.0,-50.333333333333336
3,4,-51.333333333333336,-51.0,-47.0
3,3,-43.0,-55.333333333333336,-46.666666666666664
3,2,-46.333333333333336,-56.0,-53.0
3,1,-50.0,-51.0,-47.333333333333336
3,0,-34,-54,-44
4,0,-29.333333333333332,-61.333333333333336,-52.666666666666664
4,1,-35.333333333333336,-52.333333333333336,-58.333333333333336
4,2,-37.666666666666664,-52.666666666666664,-47.666666666666664
4,3,-44.666666666666664,-54.0,-43.666666666666664
4,4,-43.333333333333336,-49.666666666666664,-44.333333333333336
4,5,-41.333333333333336,-53.666666666666664,-42.0
4,6,-50.333333333333336,-57.0,-45.0
4,7,-41.333333333333336,-51.333333333333336,-45.0
4,8,-41.666666666666664,-55.333333333333336,-42.333333333333336
4,9,-45.0,-54.0,-45.333333333333336
4,10,-47.333333333333336,-43.333333333333336,-54.0
4,11,-50.666666666666664,-49.0,-44.0
4,12,-57.333333333333336,-47.0,-49.0
