x,y,s1,s2,s3
0,0,-66.0,-57.0,-48.0
0,1,-54.0,-55.666666666666664,-53.75
0,2,-58.666666666666664,-59.666666666666664,-61.666666666666664
0,3,-55.333333333333336,-56.0,-60.333333333333336
0,4,-45.0,-55.0,-50.333333333333336
0,5,-62.0,-55.0,-59.0
0,6,-63.0,-57.333333333333336,-51.0
0,7,-59.0,-48.0,-49.0
0,8,-51.666666666666664,-56.0,-51.0
0,9,-51.333333333333336,-57.0,-48.333333333333336
0,10,-44.0,-53.0,-47.333333333333336
0,11,-50.0,-54.666666666666664,-45.0
0,12,-55.0,-57.666666666666664,-44.333333333333336
0,13,-55.0,-55.666666666666664,-37.333333333333336
0,14,-57,-60,-22
1,14,-56.0,-51.333333333333336,-38.666666666666664
1,13,-57.666666666666664,-54.0,-36.333333333333336
1,12,-58.333333333333336,-44.666666666666664,-38.666666666666664
1,11,-52.666666666666664,-54.0,-39.666666666666664
1,10,-54.0,-43.666666666666664,-46.666666666666664
1,9,-52.0,-47.0,-44.0
1,8,-47.333333333333336,-51.666666666666664,-48.666666666666664
1,7,-47.333333333333336,-46.0,-49.75
1,6,-46.666666666666664,-56.0,-50.08333333333334
1,5,-49.0,-50.666666666666664,-48.75
1,4,-50.333333333333336,-47.333333333333336,-42.866666666666664
1,3,-59.0,-50.666666666666664,-48.8
1,2,-52.333333333333336,-53.666666666666664,-47.0
1,1,-44.0,-55.0,-53.333333333333336
1,0,-37,-56,-57
2,0,-43.333333333333336,-58.0,-53.0
2,1,-46.666666666666664,-65.33333333333333,-56.333333333333336
2,2,-53.0,-57.666666666666664,-54.0
2,3,-45.666666666666664,-57.666666666666664,-60.0
2,4,-52.0,-61.333333333333336,-54.0
2,5,-47.333333333333336,-50.333333333333336,-49.0
2,6,-38.0,-54.0,-49.666666666666664
2,7,-43.333333333333336,-49.333333333333336,-53.666666666666664
2,8,-46.0,-47.0,-46.666666666666664
2,9,-45.333333333333336,-49.666666666666664,-48.666666666666664
2,10,-50.0,-52.333333333333336,-37.666666666666664
2,11,-50.0,-58.0,-37.333333333333336
2,12,-62.666666666666664,-46.666666666666664,-33.0
2,13,-57.0,-54.0,-36.0
2,14,-51,-47,-39
3,14,-49.0,-53.666666666666664,-42.0
3,13,-50.0,-42.0,-43.333333333333336
3,12,-58.0,-46.666666666666664,-50.0
3,11,-48.666666666666664,-55.0,-47.333333333333336
3,10,-56.333333333333336,-46.0,-44.0
3,9,-44.666666666666664,-46.333333333333336,-47.333333333333336
3,8,-46.333333333333336,-47.666666666666664,-47.333333333333336
3,7,-57.0,-51.0,-43.333333333333336
3,6,-55.0,-51.0,-52.666666666666664
3,5,-45.333333333333336,-53.0,-50.0
3,4,-50.333333333333336,-51.666666666666664,-45.666666666666664
3,3,-34.666666666666664,-49.666666666666664,-46.0
3,2,-52.333333333333336,-53.666666666666664,-47.666666666666664
3,1,-35.333333333333336,-57.0,-52.0
3,0,-27,-53,-50
4,0,-35.666666666666664,-61.0,-52.666666666666664
4,1,-35.0,-58.666666666666664,-54.333333333333336
4,2,-37.666666666666664,-59.666666666666664,-50.333333333333336
4,3,-28.666666666666668,-61.0,-51.0
4,4,-30.0,-60.0,-49.0
4,5,-36.666666666666664,-58.333333333333336,-49.666666666666664
4,6,-38.666666666666664,-56.666666666666664,-48.0
4,7,-41.0,-47.0,-54.0
4,8,-39.333333333333336,-51.666666666666664,-49.333333333333336
4,9,-40.333333333333336,-55.666666666666664,-44.333333333333336
4,10,-50.333333333333336,-53.666666666666664,-40.666666666666664
4,11,-39.0,-54.666666666666664,-41.333333333333336
4,12,-39.0,-54.666666666666664,-44.666666666666664
4,13,-51.666666666666664,-53.333333333333336,-45.0
4,14,-50,-49,-38
5,14,-51.333333333333336,-44.666666666666664,-50.333333333333336
5,13,-64.66666666666667,-46.666666666666664,-50.333333333333336
5,12,-57.0,-54.333333333333336,-47.666666666666664
5,11,-51.0,-54.666666666666664,-51.0
5,10,-43.0,-47.0,-52.0
